Id,,len,datetime,open,high,low,close,volume,openinterest,myStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,,1,2015-01-05 00:00:00,17325.6796875,17540.919921875,17219.220703125,17408.7109375,116500.0,,myStrategy,1,735603.0,Broker,1,1000000.0,1000000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,,2,2015-01-06 00:00:00,17101.580078125,17111.359375,16881.73046875,16883.189453125,166000.0,,myStrategy,2,735604.0,Broker,2,1000000.0,1000000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,,3,2015-01-07 00:00:00,16808.259765625,16974.609375,16808.259765625,16885.330078125,138600.0,,myStrategy,3,735605.0,Broker,3,1000000.0,1000000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,,4,2015-01-08 00:00:00,17067.400390625,17243.7109375,17016.08984375,17167.099609375,140600.0,,myStrategy,4,735606.0,Broker,4,1000000.0,1000000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,,5,2015-01-09 00:00:00,17318.740234375,17342.650390625,17129.529296875,17197.73046875,155200.0,,myStrategy,5,735607.0,Broker,5,1000000.0,1000000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,,6,2015-01-13 00:00:00,16970.880859375,17087.7109375,16828.26953125,17087.7109375,149200.0,,myStrategy,6,735611.0,Broker,6,1000000.0,1000000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,,7,2015-01-14 00:00:00,16961.8203125,17036.720703125,16770.560546875,16795.9609375,148500.0,,myStrategy,7,735612.0,Broker,7,1000000.0,1000000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,,8,2015-01-15 00:00:00,16872.94921875,17141.98046875,16856.220703125,17108.69921875,147700.0,,myStrategy,8,735613.0,Broker,8,1000000.0,1000000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,,9,2015-01-16 00:00:00,16812.9609375,16864.33984375,16592.5703125,16864.16015625,171100.0,,myStrategy,9,735614.0,Broker,9,1000000.0,1000000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,,10,2015-01-19 00:00:00,17000.779296875,17039.80078125,16911.580078125,17014.2890625,128000.0,,myStrategy,10,735617.0,Broker,10,1000000.0,1000000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
11,,11,2015-01-20 00:00:00,17071.650390625,17366.30078125,17066.76953125,17366.30078125,133000.0,,myStrategy,11,735618.0,Broker,11,1000000.0,1000000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,,12,2015-01-21 00:00:00,17308.720703125,17329.029296875,17181.55078125,17280.48046875,136000.0,,myStrategy,12,735619.0,Broker,12,1000000.0,1000000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,
13,,13,2015-01-22 00:00:00,17306.640625,17355.740234375,17229.2109375,17329.01953125,121900.0,,myStrategy,13,735620.0,Broker,13,1000000.0,1000000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,
14,,14,2015-01-23 00:00:00,17520.630859375,17532.060546875,17460.759765625,17511.75,132500.0,,myStrategy,14,735621.0,Broker,14,1000000.0,1000000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,
15,,15,2015-01-26 00:00:00,17285.7109375,17471.939453125,17285.7109375,17468.51953125,111600.0,,myStrategy,15,735624.0,Broker,15,1000000.0,1000000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,
16,,16,2015-01-27 00:00:00,17649.400390625,17768.41015625,17633.470703125,17768.30078125,139700.0,,myStrategy,16,735625.0,Broker,16,1000000.0,1000000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,
17,,17,2015-01-28 00:00:00,17615.9296875,17850.58984375,17615.9296875,17795.73046875,141900.0,,myStrategy,17,735626.0,Broker,17,1000000.0,1000000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,
18,,18,2015-01-29 00:00:00,17666.91015625,17778.830078125,17575.099609375,17606.220703125,140000.0,,myStrategy,18,735627.0,Broker,18,1000000.0,1000000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,
19,,19,2015-01-30 00:00:00,17788.740234375,17808.470703125,17661.099609375,17674.390625,173500.0,,myStrategy,19,735628.0,Broker,19,1000000.0,1000000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,
20,,20,2015-02-02 00:00:00,17536.609375,17628.400390625,17459.44921875,17558.0390625,136000.0,,myStrategy,20,735631.0,Broker,20,1000000.0,1000000.0,BuySell,20,,,Trades - Net Profit/Loss,20,,
21,,21,2015-02-03 00:00:00,17654.599609375,17654.599609375,17271.869140625,17335.849609375,169600.0,,myStrategy,21,735632.0,Broker,21,1000000.0,1000000.0,BuySell,21,,,Trades - Net Profit/Loss,21,,
22,,22,2015-02-04 00:00:00,17549.30078125,17743.109375,17535.0390625,17678.740234375,187000.0,,myStrategy,22,735633.0,Broker,22,1000000.0,1000000.0,BuySell,22,,,Trades - Net Profit/Loss,22,,
23,,23,2015-02-05 00:00:00,17589.2109375,17619.33984375,17484.669921875,17504.619140625,185000.0,,myStrategy,23,735634.0,Broker,23,1000000.0,1000000.0,BuySell,23,,,Trades - Net Profit/Loss,23,,
24,,24,2015-02-06 00:00:00,17696.1796875,17700.669921875,17603.0703125,17648.5,142500.0,,myStrategy,24,735635.0,Broker,24,1000000.0,1000000.0,BuySell,24,,,Trades - Net Profit/Loss,24,,
25,,25,2015-02-09 00:00:00,17790.310546875,17799.490234375,17653.609375,17711.9296875,129500.0,,myStrategy,25,735638.0,Broker,25,1000000.0,1000000.0,BuySell,25,,,Trades - Net Profit/Loss,25,,
26,,26,2015-02-10 00:00:00,17662.669921875,17673.26953125,17550.029296875,17652.6796875,123900.0,,myStrategy,26,735639.0,Broker,26,1000000.0,1000000.0,BuySell,26,,,Trades - Net Profit/Loss,26,,
27,,27,2015-02-12 00:00:00,17899.400390625,18005.44921875,17884.33984375,17979.720703125,181200.0,,myStrategy,27,735641.0,Broker,27,1000000.0,1000000.0,BuySell,27,,,Trades - Net Profit/Loss,27,,
28,,28,2015-02-13 00:00:00,17892.099609375,17962.109375,17864.55078125,17913.359375,162000.0,,myStrategy,28,735642.0,Broker,28,1000000.0,1000000.0,BuySell,28,,,Trades - Net Profit/Loss,28,,
29,,29,2015-02-16 00:00:00,18024.009765625,18074.259765625,17978.900390625,18004.76953125,152600.0,,myStrategy,29,735645.0,Broker,29,1000000.0,1000000.0,BuySell,29,,,Trades - Net Profit/Loss,29,,
30,,30,2015-02-17 00:00:00,17949.69921875,18009.44921875,17901.259765625,17987.08984375,142100.0,,myStrategy,30,735646.0,Broker,30,1000000.0,1000000.0,BuySell,30,,,Trades - Net Profit/Loss,30,,
